
cuda:0
Soft Q Network (1,2):  SoftQNetwork(
  (batch_norm): BatchNorm2d(3, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv1): Conv2d(3, 64, kernel_size=(2, 2), stride=(1, 1))
  (batchnorm1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling1): MaxPool2d(kernel_size=3, stride=3, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(64, 128, kernel_size=(2, 2), stride=(1, 1))
  (batchnorm2): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv_gen1): Conv2d(128, 128, kernel_size=(1, 1), stride=(1, 1))
  (conv3): Conv2d(128, 256, kernel_size=(3, 3), stride=(2, 2))
  (conv_gen2): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
  (linear1): Linear(in_features=256, out_features=224, bias=True)
  (linear_1): Linear(in_features=6, out_features=64, bias=True)
  (linear_2): Linear(in_features=64, out_features=64, bias=True)
  (linear_3): Linear(in_features=64, out_features=32, bias=True)
  (linear_state_combined): Linear(in_features=256, out_features=512, bias=True)
  (linear_combined_1): Linear(in_features=550, out_features=256, bias=True)
  (linear_combined_2): Linear(in_features=256, out_features=128, bias=True)
  (linear_action_1): Linear(in_features=7, out_features=64, bias=True)
  (linear_action_2): Linear(in_features=64, out_features=38, bias=True)
  (linear_final): Linear(in_features=128, out_features=1, bias=True)
)
Policy Network:  PolicyNetwork(
  (batch_norm): BatchNorm2d(3, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv1): Conv2d(3, 64, kernel_size=(2, 2), stride=(1, 1))
  (batchnorm1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling1): MaxPool2d(kernel_size=3, stride=3, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(64, 128, kernel_size=(2, 2), stride=(1, 1))
  (batchnorm2): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv_gen1): Conv2d(128, 128, kernel_size=(1, 1), stride=(1, 1))
  (conv3): Conv2d(128, 256, kernel_size=(3, 3), stride=(2, 2))
  (conv_gen2): Conv2d(256, 256, kernel_size=(1, 1), stride=(1, 1))
  (linear1): Linear(in_features=256, out_features=480, bias=True)
  (linear_1): Linear(in_features=6, out_features=64, bias=True)
  (linear_2): Linear(in_features=64, out_features=64, bias=True)
  (linear_3): Linear(in_features=64, out_features=32, bias=True)
  (linear_combined_1): Linear(in_features=512, out_features=1024, bias=True)
  (linear_combined_2): Linear(in_features=1024, out_features=512, bias=True)
  (mean_linear): Linear(in_features=512, out_features=7, bias=True)
  (log_std_linear): Linear(in_features=512, out_features=7, bias=True)
)
Episode:  0 | Episode Reward:  0.31386804021107717
Episode:  1 | Episode Reward:  -1
Episode:  2 | Episode Reward:  -1
Episode:  3 | Episode Reward:  0.37968928469890467
Episode:  4 | Episode Reward:  -1
Episode:  5 | Episode Reward:  -1
Episode:  6 | Episode Reward:  -1
Episode:  7 | Episode Reward:  -0.9005743918620671
Episode:  8 | Episode Reward:  -1
Episode:  9 | Episode Reward:  -0.7704873130693413
Episode:  10 | Episode Reward:  -1
Episode:  11 | Episode Reward:  -0.8789924190594873
Episode:  12 | Episode Reward:  -0.918359027616772
Episode:  13 | Episode Reward:  -0.8724762855104367
Episode:  14 | Episode Reward:  1.5180254070242647
Episode:  15 | Episode Reward:  -1
Episode:  16 | Episode Reward:  -1
Episode:  17 | Episode Reward:  -0.9078103949282057
Episode:  18 | Episode Reward:  -1
Episode:  19 | Episode Reward:  -0.15142295672869854
Episode:  20 | Episode Reward:  -0.8380161393093559
Episode:  21 | Episode Reward:  1.1664995804273897
Episode:  22 | Episode Reward:  0.3361548106235123
Episode:  23 | Episode Reward:  -1
Episode:  24 | Episode Reward:  -1
Episode:  25 | Episode Reward:  0.4465761876037892
Episode:  26 | Episode Reward:  -1
Episode:  27 | Episode Reward:  -1
Episode:  28 | Episode Reward:  -0.8163260306266926
Episode:  29 | Episode Reward:  -1
Episode:  30 | Episode Reward:  -0.6651975777354444
Episode:  31 | Episode Reward:  -0.8982142526873029
Episode:  32 | Episode Reward:  -0.9120077022449793
Episode:  33 | Episode Reward:  -0.8389673333780187
Episode:  34 | Episode Reward:  -0.8150344585814944
Episode:  35 | Episode Reward:  -1
Episode:  36 | Episode Reward:  -1
Episode:  37 | Episode Reward:  -1
Episode:  38 | Episode Reward:  -1
Episode:  39 | Episode Reward:  0.27721369484565783
Episode:  40 | Episode Reward:  -1
Episode:  41 | Episode Reward:  -0.6392068987689021
Episode:  42 | Episode Reward:  -0.8567629180587044
Episode:  43 | Episode Reward:  -1
Episode:  44 | Episode Reward:  -1
Episode:  45 | Episode Reward:  -0.8214721271004142
Episode:  46 | Episode Reward:  -1
Episode:  47 | Episode Reward:  -1
Episode:  48 | Episode Reward:  -1
Episode:  49 | Episode Reward:  -0.9105447021963016
Episode:  50 | Episode Reward:  -0.8066711871223238
Episode:  51 | Episode Reward:  -1
Episode:  52 | Episode Reward:  -1
Episode:  53 | Episode Reward:  -1
Episode:  54 | Episode Reward:  -1
Episode:  55 | Episode Reward:  -1
Episode:  56 | Episode Reward:  0.3041142591464133
Episode:  57 | Episode Reward:  -0.9169528354138291
Episode:  58 | Episode Reward:  0.2722349468309511
Episode:  59 | Episode Reward:  -0.7869935976556275
Episode:  60 | Episode Reward:  -0.8864928330027352
Episode:  61 | Episode Reward:  0.37848604508178824
Episode:  62 | Episode Reward:  -1
Episode:  63 | Episode Reward:  -1
Episode:  64 | Episode Reward:  0.5120379813260931
Episode:  65 | Episode Reward:  -0.8566181552387895
Episode:  66 | Episode Reward:  -1
Episode:  67 | Episode Reward:  -0.8606687297249572
Episode:  68 | Episode Reward:  -1
