2023-03-06 04:15:58,019 INFO    MainThread:4408 [wandb_setup.py:_flush():68] Configure stats pid to 4408
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_setup.py:_flush():68] Loading settings from /home/filippo/.config/wandb/settings
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_setup.py:_flush():68] Loading settings from /home/filippo/Desktop/Project/Experiments/JacoRLDR/sac/wandb/settings
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'sac/train.py', 'program': 'train.py'}
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_init.py:_log_setup():478] Logging user logs to /home/filippo/Desktop/Project/Experiments/JacoRLDR/sac/wandb/run-20230306_041558-lccr3b6t/logs/debug.log
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_init.py:_log_setup():479] Logging internal logs to /home/filippo/Desktop/Project/Experiments/JacoRLDR/sac/wandb/run-20230306_041558-lccr3b6t/logs/debug-internal.log
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_init.py:init():518] calling init triggers
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_init.py:init():522] wandb.init called with sweep_config: {}
config: {'algorithm': 'JacoRL2'}
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_init.py:init():571] starting backend
2023-03-06 04:15:58,020 INFO    MainThread:4408 [wandb_init.py:init():575] setting up manager
2023-03-06 04:15:58,023 INFO    MainThread:4408 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-06 04:15:58,027 INFO    MainThread:4408 [wandb_init.py:init():582] backend started and connected
2023-03-06 04:15:58,032 INFO    MainThread:4408 [wandb_init.py:init():670] updated telemetry
2023-03-06 04:15:58,047 INFO    MainThread:4408 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-03-06 04:15:58,875 INFO    MainThread:4408 [wandb_run.py:_on_init():2121] communicating current version
2023-03-06 04:15:59,156 INFO    MainThread:4408 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-06 04:15:59,156 INFO    MainThread:4408 [wandb_init.py:init():758] starting run threads in backend
2023-03-06 04:16:02,158 INFO    MainThread:4408 [wandb_run.py:_console_start():2101] atexit reg
2023-03-06 04:16:02,158 INFO    MainThread:4408 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-03-06 04:16:02,159 INFO    MainThread:4408 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-03-06 04:16:02,159 INFO    MainThread:4408 [wandb_run.py:_redirect():2046] Redirects installed.
2023-03-06 04:16:02,159 INFO    MainThread:4408 [wandb_init.py:init():798] run started, returning control to user process
