2023-10-15 07:32:34,670 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Configure stats pid to 16904
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Loading settings from /root/home/JacoRLDR/sac/wandb/settings
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sac/train.py', 'program': 'train.py'}
2023-10-15 07:32:34,671 INFO    MainThread:16904 [wandb_init.py:_log_setup():524] Logging user logs to /root/home/JacoRLDR/sac/wandb/run-20231015_073234-9l8h7z6z/logs/debug.log
2023-10-15 07:32:34,672 INFO    MainThread:16904 [wandb_init.py:_log_setup():525] Logging internal logs to /root/home/JacoRLDR/sac/wandb/run-20231015_073234-9l8h7z6z/logs/debug-internal.log
2023-10-15 07:32:34,672 INFO    MainThread:16904 [wandb_init.py:init():564] calling init triggers
2023-10-15 07:32:34,672 INFO    MainThread:16904 [wandb_init.py:init():572] wandb.init called with sweep_config: {}
config: {'algorithm': 'JacoRL2'}
2023-10-15 07:32:34,672 INFO    MainThread:16904 [wandb_init.py:init():614] starting backend
2023-10-15 07:32:34,672 INFO    MainThread:16904 [wandb_init.py:init():618] setting up manager
2023-10-15 07:32:34,681 INFO    MainThread:16904 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-15 07:32:34,683 INFO    MainThread:16904 [wandb_init.py:init():624] backend started and connected
2023-10-15 07:32:34,696 INFO    MainThread:16904 [wandb_init.py:init():715] updated telemetry
2023-10-15 07:32:34,724 INFO    MainThread:16904 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-10-15 07:32:35,226 INFO    MainThread:16904 [wandb_run.py:_on_init():2220] communicating current version
2023-10-15 07:32:35,296 INFO    MainThread:16904 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.15.12 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-10-15 07:32:35,296 INFO    MainThread:16904 [wandb_init.py:init():799] starting run threads in backend
2023-10-15 07:32:35,776 INFO    MainThread:16904 [wandb_run.py:_console_start():2199] atexit reg
2023-10-15 07:32:35,776 INFO    MainThread:16904 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-15 07:32:35,777 INFO    MainThread:16904 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-15 07:32:35,777 INFO    MainThread:16904 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-15 07:32:35,777 INFO    MainThread:16904 [wandb_init.py:init():840] run started, returning control to user process
